00000001
00000000	00000000000000000000000000011000
00000001	00101001111111110000000000000011
00000002	00000100001000110001000000000000
00000003	00111010000000110000000000000001
00000004	00101000001000110000000000000001
00000005	01000000000000100000000000000000
00000006	10100000000000000000000000000000
00000007	01010000000000100000000000000000
00000008	01010101010101010101010101010101
00000009	01101101101101101101101101101101
0000000A	10010010010010010010010010010010
000000D1	11001100110011001100110011001100
000000E4	10000100001000010000100001000010
000000C5	00010001000100010001000100010001
000000E9	00000000000000000000000000000000
0000010A	11111111111111111111111111111111
